Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units
NSRDB,123456,-,-,-,0,0.11,-5,19,-5,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2015,1,2,3,30,0,0,0,1,-2,132.72,0.070100002,1.5,0.947,87.9,88.47,-1,1010
2015,1,2,4,0,0,0,0,0,-2,127.05,0.070100002,1.5,0.921,89.1,87.52,-1,1010
2015,1,2,4,30,0,0,0,1,-2,121.37,0.070100002,1.5,0.895,89.1,87.58,-1,1010
2015,1,2,5,0,0,0,0,1,-2,115.73,0.070100002,1.5,0.87,86.3,93.62,-2,1010
2015,1,2,5,30,0,0,0,1,-2,110.16,0.070100002,1.5,0.85,86.3,93.69,-2,1010
2015,1,2,6,0,0,0,0,1,-2,104.69,0.070100002,1.6,0.831,84.7,92.95,-2,1010
2015,1,2,6,30,0,0,0,4,-2,99.36,0.070100002,1.6,0.819,84.7,86.42,-1,1010
2015,1,2,7,0,0,0,0,0,-3,94.2,0.070100002,1.6,0.808,84.7,85.42,-1,1010
2015,1,2,7,30,0,0,0,4,-3,89.24,0.070100002,1.7,0.804,84.7,79.45,0,1010
2015,1,2,8,0,32,348,66,4,-2,84.55,0.070100002,1.8,0.8,84,80.95,0,1020
2015,1,2,8,30,49,516,138,1,-2,80.16,0.070100002,1.9,0.798,84,80.99,0,1020
2015,1,2,9,0,62,621,210,4,-2,76.15,0.070100002,2.1,0.796,81.1,76.29,1,1020
2015,1,2,9,30,70,693,278,4,-2,72.57,0.070100002,2.4,0.795,81.1,76.3,1,1020
2015,1,2,10,0,74,753,338,1,-3,69.5,0.070100002,2.7,0.795,87.5,67.4,2,1020
2015,1,2,10,30,139,395,294,4,-3,67.01,0.070100002,2.7,0.791,87.5,67.38,2,1020
2015,1,2,11,0,181,100,223,4,-3,65.17,0.070100002,2.7,0.787,92.8,62.73,3,1020
2015,1,2,11,30,156,424,342,2,-3,64.04,0.070100002,2.6,0.786,92.8,62.72,3,1020
2015,1,2,12,0,88,811,448,0,-3,63.66,0.070100002,2.6,0.786,95.5,63.56,3,1020
2015,1,2,12,30,159,409,338,4,-3,64.04,0.070100002,2.5,0.788,95.5,63.56,3,1020
2015,1,2,13,0,130,513,346,8,-3,65.17,0.070100002,2.5,0.791,98.4,64.18,3,1020
2015,1,2,13,30,77,707,353,7,-3,67.01,0.070100002,2.3,0.793,98.4,64.2,3,1020
2015,1,2,14,0,87,694,331,0,-2,69.5,0.070100002,2.2,0.796,98.3,65.38,3,1020
2015,1,2,14,30,80,641,272,1,-2,72.57,0.070100002,1.9,0.791,98.3,70.21,2,1020
2015,1,2,15,0,53,596,195,7,-2,76.15,0.070100002,1.6,0.787,98.3,73.18,2,1020
2015,1,2,15,30,55,467,134,0,-2,80.16,0.070100002,1.5,0.776,98.3,78.64,1,1020
2015,1,2,16,0,35,314,64,0,-2,84.54,0.070100002,1.4,0.765,99.3,78.2,1,1020
2015,1,2,16,30,0,0,0,0,-2,89.24,0.070100002,1.4,0.754,99.3,84.1,0,1020
2015,1,2,17,0,0,0,0,4,-2,94.19,0.070100002,1.4,0.743,101.9,83.87,0,1020
2015,1,2,17,30,0,0,0,7,-2,99.36,0.070100002,1.3,0.734,101.9,83.91,0,1020
2015,1,2,18,0,0,0,0,4,-2,104.69,0.070100002,1.3,0.726,104.8,84.34,0,1020
2015,1,2,18,30,0,0,0,7,-2,110.16,0.070100002,1.2,0.718,104.8,84.37,0,1020
2015,1,2,19,0,0,0,0,7,-2,115.73,0.070100002,1.2,0.71,109.2,83.75,0,1020
2015,1,2,19,30,0,0,0,4,-2,121.37,0.070100002,1.1,0.7,109.2,83.78,0,1020
2015,1,2,20,0,0,0,0,4,-2,127.04,0.070100002,1.1,0.691,117.8,83.36,0,1020
2015,1,2,20,30,0,0,0,4,-2,132.71,0.070100002,1.1,0.687,117.8,83.39,0,1020
2015,1,2,21,0,0,0,0,7,-2,138.32,0.070100002,1.1,0.683,132.2,82.48,0,1020
2015,1,2,21,30,0,0,0,4,-2,143.81,0.070100002,1.1,0.679,132.2,82.51,0,1020
2015,1,2,22,0,0,0,0,7,-2,149.07,0.070100002,1.1,0.675,151.8,87.79,-1,1020
2015,1,2,22,30,0,0,0,7,-2,153.92,0.070100002,1.1,0.674,151.8,87.8,-1,1020
2015,1,2,23,0,0,0,0,7,-2,158.06,0.070100002,1.2,0.674,175.9,86.53,-1,1020
2015,1,2,23,30,0,0,0,4,-2,160.99,0.070100002,1.2,0.676,175.9,86.55,-1,1020
2015,1,3,0,0,0,0,0,7,-3,162.08,0.070100002,1.3,0.678,192.9,84.94,-1,1020
2015,1,3,0,30,0,0,0,4,-3,161.01,0.070100002,1.3,0.687,192.9,84.97,-1,1020
2015,1,3,1,0,0,0,0,7,-3,158.09,0.070100002,1.3,0.697,205.4,83.17,-1,1020
